contributors	y
coordinates	b
created_at	jsdkfhdsk
display_text_range	gkjdfgjkdfgbd
entities	kgjdfgdg
extended_entities	gdfgfdgd
extended_tweet	dgfdg
favorite_count	dfgdgdf
favorited	dfggdf
filter_level	dfgdfgdf
geo	dfgdfgdf
id	dgdfg
id_str	dfggdg
in_reply_to_screen_name	dgdfg
in_reply_to_status_id	dfgdfg
in_reply_to_status_id_str	dfgdfg
in_reply_to_user_id	dfgdg
in_reply_to_user_id_str	dgdg
is_quote_status	dfgdfg
lang	dfgfdgd
matching_rules	dfggdf
place	dfgdfg
possibly_sensitive	dfgdfg
quote_count	dfgdfg
quoted_status	dfgdfg
quoted_status_id	dfgdg
quoted_status_id_str	dgdfg
quoted_status_permalink	dfgdfg
reply_count	dfgfdg
retweet_count	dfgdfg
retweeted	dfgdfg
retweeted_status	dfggd
source	dfgdfg
text	wqewr
truncated	rrtyr
user	wers
